Year,Round,Match,Winner Seed,Loser Seed,Winner Rk,Winner MP,Winner FG,Winner FGA,Winner FG%,Winner 3P,Winner 3PA,Winner 3P%,Winner 2P,Winner 2PA,Winner 2P%,Winner FT,Winner FTA,Winner FT%,Winner ORB,Winner DRB,Winner TRB,Winner AST,Winner STL,Winner BLK,Winner TOV,Winner PF,Winner PTS,Loser Rk,Loser MP,Loser FG,Loser FGA,Loser FG%,Loser 3P,Loser 3PA,Loser 3P%,Loser 2P,Loser 2PA,Loser 2P%,Loser FT,Loser FTA,Loser FT%,Loser ORB,Loser DRB,Loser TRB,Loser AST,Loser STL,Loser BLK,Loser TOV,Loser PF,Loser PTS
2025,Eastern Conf First Round,Indiana Pacers VS Milwaukee Bucks,4,5,7,242.1,43.6,89.3,0.488,13.2,35.8,0.368,30.4,53.6,0.568,17,21.6,0.789,9.2,32.7,41.8,29.2,8.5,5.5,13.2,18.7,117.4,11,240.9,42,86.4,0.486,14.2,36.6,0.387,27.9,49.7,0.56,17.3,23.1,0.75,8.2,35.1,43.4,25.5,7.3,4.7,13.4,17.9,115.5
2025,Eastern Conf First Round,New York Knicks VS Detroit Pistons,3,6,9,242.4,43.3,89.2,0.486,12.6,34.1,0.369,30.8,55.1,0.558,16.5,20.7,0.8,10.9,31.8,42.6,27.5,8.2,4,13.3,17.2,115.8,12,241.5,42.7,89.8,0.476,12.8,35.4,0.362,29.9,54.4,0.55,17.2,22.3,0.774,11.4,33.4,44.8,26.4,8,5.3,14.9,20.7,115.5
2025,Eastern Conf First Round,Boston Celtics VS Orlando Magic,2,7,8,241.8,41.6,90,0.462,17.8,48.2,0.368,23.9,41.8,0.571,15.3,19.1,0.799,11.4,33.9,45.3,26.1,7.2,5.5,11.9,15.9,116.3,28,240.6,38.2,85.8,0.445,11.2,35.3,0.318,26.9,50.5,0.533,17.9,23,0.775,11.1,30.7,41.8,23,8.9,6,14.2,20.1,105.4
2025,Eastern Conf First Round,Cleveland Cavaliers VS Miami Heat,1,8,1,240.9,44.5,90.8,0.491,15.9,41.5,0.383,28.6,49.3,0.581,17,21.9,0.776,11.2,34.2,45.4,28.1,8.2,4.3,13.2,18.1,121.9,24,243,40.5,87,0.465,13.7,37.3,0.367,26.8,49.7,0.538,16,20.2,0.791,9.7,33.7,43.4,26.4,8.1,3.8,13.6,15.5,110.6
2025,Western Conf First Round,Oklahoma City Thunder VS Memphis Grizzlies ,1,8,4,240.3,44.6,92.7,0.482,14.5,38.8,0.374,30.1,53.9,0.559,16.7,20.4,0.819,10.6,34.2,44.8,26.9,10.3,5.7,11.7,19.9,120.5,2,240.3,44.8,93.3,0.479,13.9,37.9,0.367,30.8,55.5,0.556,18.3,23.3,0.786,12.9,34.4,47.3,28.4,8.9,5.6,15.7,20.9,121.7
2025,Western Conf First Round,Denver Nuggets VS Los Angeles Clippers,4,5,3,242.1,45.4,89.8,0.506,12,31.9,0.376,33.4,57.8,0.578,17.9,23.3,0.77,11.2,34.5,45.7,31,8,4.9,14.3,17.6,120.8,20,241.5,41.6,86.3,0.482,12.5,33.4,0.373,29.1,52.9,0.55,17.3,21.7,0.797,10.3,33.5,43.8,25.2,9.4,4.5,14.9,18.3,112.9
2025,Western Conf First Round,Los Angeles Lakers VS Minnesota Timberwolves ,3,6,19,240.6,40.9,85.5,0.479,13.3,36.4,0.366,27.6,49.1,0.562,18.2,23.2,0.785,9.7,32.8,42.4,26,7.7,4.5,14,17.3,113.4,13,241.8,41,87.6,0.468,15,39.9,0.377,26,47.7,0.545,17.2,21.8,0.789,11.1,33.2,44.3,26.1,8,5,14.5,18.3,114.3
2025,Western Conf First Round,Golden State Warriors VS Houston Rockets ,2,7,17,240.6,40.8,90.4,0.451,15.4,42.4,0.364,25.3,48,0.528,16.9,22.1,0.764,12.5,32.8,45.4,29.1,9.4,4.8,14,19.2,113.8,14,241.2,42.5,93.4,0.455,12.7,35.8,0.353,29.8,57.6,0.518,16.7,22.6,0.738,14.6,33.8,48.5,23.3,8.4,5,13.9,19,114.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
